date,Stock,cumulative_return
2024-09-05,AXISBANK,1.1480242848322708
2024-09-07,AXISBANK,1.3268162173286695
2024-09-08,AXISBANK,1.1759106812101263
2024-09-09,AXISBANK,1.2048260959045076
2024-09-10,AXISBANK,1.2041057830829396
2024-10-01,AXISBANK,1.1391232763943204
2024-10-04,AXISBANK,1.1193661247170206
2024-10-05,AXISBANK,1.1526034163408114
2024-10-06,AXISBANK,1.234821979831242
2024-10-07,AXISBANK,1.329131508540853
2024-10-09,AXISBANK,1.2216505453797086
2024-10-10,AXISBANK,1.2186149413459568
2024-11-01,AXISBANK,1.1584173698291838
2024-11-03,AXISBANK,1.137168141592921
2024-11-06,AXISBANK,1.229265280922001
